component_id,property_name,unit,numeric_value,text_value,source
ee73af30dff201c916452d9bda5700a2c2572c50,Load capacity [kg],kg,6.0,,building_blocks_cleaned.csv:2:property_1/value_1
ee73af30dff201c916452d9bda5700a2c2572c50,Range [mm],mm,900.0,,building_blocks_cleaned.csv:2:property_2/value_2
ee73af30dff201c916452d9bda5700a2c2572c50,Net weight [kg],kg,55.0,,building_blocks_cleaned.csv:2:property_3/value_3
3f84497e6d2e2417a750dadfb5e4206cfe79cb3a,Load capacity [kg],kg,4.0,,building_blocks_cleaned.csv:3:property_1/value_1
f0d2b66c4584840b318af39338c875d5685ed719,Length [m],m,10.0,,building_blocks_cleaned.csv:4:property_1/value_1
f578e91f80f7e425e53d310c7dc0c381e823df52,Length [m],m,5.0,,building_blocks_cleaned.csv:5:property_1/value_1
5e9fc79a4437e4d285d83d13c9d455349a9a8973,protocol,,,PROFINET,building_blocks_cleaned.csv:6:property_1/value_1
006be0540f2ada6ed248ce5714cc0d038a6c461e,contact person,,,KIH/DAA,building_blocks_cleaned.csv:9:property_1/value_1
006be0540f2ada6ed248ce5714cc0d038a6c461e,software,,,WorkVisual,building_blocks_cleaned.csv:9:property_2/value_2
e7479e701b0014d46b50dfdd9b74ac2501e6d17c,contact person,,,KIH/DAA,building_blocks_cleaned.csv:10:property_1/value_1
4027260d82bf71b2f48e2b29de367600f702712b,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:11:property_1/value_1
4027260d82bf71b2f48e2b29de367600f702712b,version,,,V18 Update 3,building_blocks_cleaned.csv:11:property_2/value_2
4027260d82bf71b2f48e2b29de367600f702712b,Library compliance,,,Yes,building_blocks_cleaned.csv:11:property_3/value_3
1515ff67f1f69a9e882191183df7be3c60c4c8c6,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:12:property_1/value_1
1515ff67f1f69a9e882191183df7be3c60c4c8c6,version,,,V18 Update 3,building_blocks_cleaned.csv:12:property_2/value_2
1515ff67f1f69a9e882191183df7be3c60c4c8c6,Library compliance,,,Yes,building_blocks_cleaned.csv:12:property_3/value_3
6dd2489b9744a937c672c15d9adab22156120ab7,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:13:property_1/value_1
6dd2489b9744a937c672c15d9adab22156120ab7,version,,,V18 Update 3,building_blocks_cleaned.csv:13:property_2/value_2
6dd2489b9744a937c672c15d9adab22156120ab7,Library compliance,,,Yes,building_blocks_cleaned.csv:13:property_3/value_3
1d648138c7be3dc39d2f32e7fe8fe60470cb6843,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:14:property_1/value_1
1d648138c7be3dc39d2f32e7fe8fe60470cb6843,version,,,V18 Update 3,building_blocks_cleaned.csv:14:property_2/value_2
1d648138c7be3dc39d2f32e7fe8fe60470cb6843,Library compliance,,,Yes,building_blocks_cleaned.csv:14:property_3/value_3
f9b6c05301d67baff27e80a961c81e36f46c48eb,contact person,,,KIH/HAC/NBR,building_blocks_cleaned.csv:15:property_1/value_1
f9b6c05301d67baff27e80a961c81e36f46c48eb,version,,,2.8.2.1,building_blocks_cleaned.csv:15:property_2/value_2
f9b6c05301d67baff27e80a961c81e36f46c48eb,Library compliance,,,Yes,building_blocks_cleaned.csv:15:property_3/value_3
b8ae60e22d8ff8331c2bdaf8941de576af20681f,contact person,,,KIH/HAC/NBR,building_blocks_cleaned.csv:16:property_1/value_1
b8ae60e22d8ff8331c2bdaf8941de576af20681f,version,,,2.8.2.1,building_blocks_cleaned.csv:16:property_2/value_2
b8ae60e22d8ff8331c2bdaf8941de576af20681f,Library compliance,,,Yes,building_blocks_cleaned.csv:16:property_3/value_3
de160ddd90e66d78a94fe719459f36abe616884b,contact person,,,KIH/HAC/NBR,building_blocks_cleaned.csv:17:property_1/value_1
de160ddd90e66d78a94fe719459f36abe616884b,version,,,2.8.2.1,building_blocks_cleaned.csv:17:property_2/value_2
de160ddd90e66d78a94fe719459f36abe616884b,Library compliance,,,Yes,building_blocks_cleaned.csv:17:property_3/value_3
e3d3b97668506de6077fa453d4ce089e5a42326a,contact person,,,KIH/HAC/NBR,building_blocks_cleaned.csv:18:property_1/value_1
e3d3b97668506de6077fa453d4ce089e5a42326a,version,,,2.8.2.1,building_blocks_cleaned.csv:18:property_2/value_2
e3d3b97668506de6077fa453d4ce089e5a42326a,Library compliance,,,Yes,building_blocks_cleaned.csv:18:property_3/value_3
a5642f6c6a5f09424f06c17f740f4306e45806e2,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:19:property_1/value_1
a5642f6c6a5f09424f06c17f740f4306e45806e2,version,,,V18 Update 3,building_blocks_cleaned.csv:19:property_2/value_2
a5642f6c6a5f09424f06c17f740f4306e45806e2,Library compliance,,,No,building_blocks_cleaned.csv:19:property_3/value_3
27a024821d56a81bd5efc553f42f2dec5f7e430d,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:20:property_1/value_1
27a024821d56a81bd5efc553f42f2dec5f7e430d,version,,,V18 Update 3,building_blocks_cleaned.csv:20:property_2/value_2
27a024821d56a81bd5efc553f42f2dec5f7e430d,Library compliance,,,No,building_blocks_cleaned.csv:20:property_3/value_3
cdfb24dd27c8ff48acd6ecd2affc7b7654211fe7,contact person,,,KIH/THP/NBR/...,building_blocks_cleaned.csv:21:property_1/value_1
cdfb24dd27c8ff48acd6ecd2affc7b7654211fe7,version,,,V18 Update 3,building_blocks_cleaned.csv:21:property_2/value_2
cdfb24dd27c8ff48acd6ecd2affc7b7654211fe7,Library compliance,,,No,building_blocks_cleaned.csv:21:property_3/value_3
4ad802125d88aadebe4ce693e23a026b548bf5a3,contact person,,,KIH/DAA,building_blocks_cleaned.csv:22:property_1/value_1
4ad802125d88aadebe4ce693e23a026b548bf5a3,software,,,WorkVisual,building_blocks_cleaned.csv:22:property_2/value_2
b62d085355a2daf8c2b03e1a76da11450af44816,contact person,,,KIH/DAA,building_blocks_cleaned.csv:23:property_1/value_1
b62d085355a2daf8c2b03e1a76da11450af44816,software,,,WorkVisual,building_blocks_cleaned.csv:23:property_2/value_2
22c16b1d5efb7bd58e8283a03b94ba674fa418f2,contact person,,,KIH/DAA,building_blocks_cleaned.csv:24:property_1/value_1
22c16b1d5efb7bd58e8283a03b94ba674fa418f2,software,,,WorkVisual,building_blocks_cleaned.csv:24:property_2/value_2
0c1d23464c51e5336c27b0421966d58a5b9c2b03,contact person,,,KIH/DAA,building_blocks_cleaned.csv:25:property_1/value_1
0c1d23464c51e5336c27b0421966d58a5b9c2b03,software,,,WorkVisual,building_blocks_cleaned.csv:25:property_2/value_2
f9505086e9923f21d40f876cc86187a0689bd916,contact person,,,KIH/DAA,building_blocks_cleaned.csv:26:property_1/value_1
f9505086e9923f21d40f876cc86187a0689bd916,software,,,WorkVisual,building_blocks_cleaned.csv:26:property_2/value_2
d5979b38dd1d3be111c9d12861cffd2f4f77cee1,protocol,,,PROFINET,building_blocks_cleaned.csv:27:property_1/value_1
d5979b38dd1d3be111c9d12861cffd2f4f77cee1,software,,,Siemens TIA Portal,building_blocks_cleaned.csv:27:property_2/value_2
a07e07d82cff3922448bfda37ed3907107d88430,Scope,,,professional,building_blocks_cleaned.csv:28:property_1/value_1
a07e07d82cff3922448bfda37ed3907107d88430,version,,,2.10.1.4,building_blocks_cleaned.csv:28:property_2/value_2
a07e07d82cff3922448bfda37ed3907107d88430,Light color,,,White,building_blocks_cleaned.csv:28:property_3/value_3
91c763b5d2582d7b48ed180890c7a26525bee472,contact person,,,ZEA/NBR,building_blocks_cleaned.csv:29:property_1/value_1
91c763b5d2582d7b48ed180890c7a26525bee472,version,,,7200/7250,building_blocks_cleaned.csv:29:property_2/value_2
c0904eae870810bc4498b5e56dbfeef01a7e145b,contact person,,,ZEA/NBR/LWA,building_blocks_cleaned.csv:30:property_1/value_1
c0904eae870810bc4498b5e56dbfeef01a7e145b,Driver version,,,V10.5,building_blocks_cleaned.csv:30:property_2/value_2
c0904eae870810bc4498b5e56dbfeef01a7e145b,Library compliance,,,Yes,building_blocks_cleaned.csv:30:property_3/value_3
e6a703c1b9c0580aeb9bc0928f8b261f021638f4,contact person,,,NBR/JWA,building_blocks_cleaned.csv:31:property_1/value_1
e6a703c1b9c0580aeb9bc0928f8b261f021638f4,version,,,V18 Update 3,building_blocks_cleaned.csv:31:property_2/value_2
e6a703c1b9c0580aeb9bc0928f8b261f021638f4,Library compliance,,,Yes,building_blocks_cleaned.csv:31:property_3/value_3
4521fa3b2789a39f46d748b44f9ace1b11580f6e,contact person,,,NBR/JWA,building_blocks_cleaned.csv:32:property_1/value_1
4521fa3b2789a39f46d748b44f9ace1b11580f6e,version,,,V18 Update 3,building_blocks_cleaned.csv:32:property_2/value_2
4521fa3b2789a39f46d748b44f9ace1b11580f6e,Library compliance,,,Yes,building_blocks_cleaned.csv:32:property_3/value_3
7483c8c3b8f6e7c2de3b06e44ac4ae826f17cdac,contact person,,,NBR/JWA,building_blocks_cleaned.csv:33:property_1/value_1
7483c8c3b8f6e7c2de3b06e44ac4ae826f17cdac,version,,,V18 Update 3,building_blocks_cleaned.csv:33:property_2/value_2
7483c8c3b8f6e7c2de3b06e44ac4ae826f17cdac,Library compliance,,,Yes,building_blocks_cleaned.csv:33:property_3/value_3
a79a91d1d860e6ab9fc3e0e437d1dfeade9905ad,contact person,,,NBR/JWA,building_blocks_cleaned.csv:34:property_1/value_1
a79a91d1d860e6ab9fc3e0e437d1dfeade9905ad,version,,,V18 Update 3,building_blocks_cleaned.csv:34:property_2/value_2
a79a91d1d860e6ab9fc3e0e437d1dfeade9905ad,Library compliance,,,Yes,building_blocks_cleaned.csv:34:property_3/value_3
7949e02a1fef7167efff843d213e9d11d620368d,contact person,,,NBR/JWA,building_blocks_cleaned.csv:35:property_1/value_1
7949e02a1fef7167efff843d213e9d11d620368d,version,,,V18 Update 3,building_blocks_cleaned.csv:35:property_2/value_2
7949e02a1fef7167efff843d213e9d11d620368d,Library compliance,,,Yes,building_blocks_cleaned.csv:35:property_3/value_3
75007b0440e7e1e527ebda6fa599446af6cf4708,contact person,,,NBR/JWA,building_blocks_cleaned.csv:36:property_1/value_1
75007b0440e7e1e527ebda6fa599446af6cf4708,version,,,V18 Update 3,building_blocks_cleaned.csv:36:property_2/value_2
75007b0440e7e1e527ebda6fa599446af6cf4708,Library compliance,,,Yes,building_blocks_cleaned.csv:36:property_3/value_3
5f7c1c70f97ae4181a8f18246609117c77968018,contact person,,,NBR/JWA,building_blocks_cleaned.csv:37:property_1/value_1
5f7c1c70f97ae4181a8f18246609117c77968018,version,,,V18 Update 3,building_blocks_cleaned.csv:37:property_2/value_2
5f7c1c70f97ae4181a8f18246609117c77968018,Library compliance,,,Yes,building_blocks_cleaned.csv:37:property_3/value_3
390e1224d2e93ecc56af5f9f5ee81792f77b5f90,contact person,,,DEHN PT,building_blocks_cleaned.csv:38:property_1/value_1
60dc4f943aa4af79c2f8478452b3fc2c89731657,contact person,,,DEHN PT,building_blocks_cleaned.csv:39:property_1/value_1
932800a7775a0833febf45cfed20afa67f2e01b6,contact person,,,AW/JWA,building_blocks_cleaned.csv:40:property_1/value_1
8529f9ac3b6b548bb044bc772b1df682d8c3bf4e,contact person,,,AW/JWA,building_blocks_cleaned.csv:41:property_1/value_1
3e440e8d9f97da516c14cdfc1a4b4a34516ba98e,contact person,,,AW/JWA,building_blocks_cleaned.csv:42:property_1/value_1
354c24ec54c86c5a467dc86167d98e599733173f,Load capacity [kg],kg,12.5,,building_blocks_cleaned.csv:43:property_1/value_1
354c24ec54c86c5a467dc86167d98e599733173f,Range [mm],mm,1300.0,,building_blocks_cleaned.csv:43:property_2/value_2
